scaled_features,Exited
"[-1.0652794878379066,-1.0189022035876123,-1.3252902402728561,-1.0009477388126558,0.4301205578365005,0.3272396692592042,1.0097682876139518,-1.2904782399831956,-0.7661605604670605,-0.35256365405228085]",0
"[-1.0652794878379066,1.623344785208039,-1.6645425561197664,-1.7002712033700735,-0.6717504318595564,-1.3342758555096281,1.0097682876139518,0.7748578372390554,-0.7661605604670605,-0.41824397962225807]",0
"[1.0732410343916199,-1.0189022035876123,-1.8943586410483186,-0.7012376825737624,1.8992818774312432,-1.3342758555096281,1.0097682876139518,0.7748578372390554,-0.7661605604670605,-1.2867207610681028]",0
"[1.0732410343916199,-1.0189022035876123,-1.0954741553443041,-1.6003678512904425,0.06283022793781484,-1.3342758555096281,1.0097682876139518,-1.2904782399831956,-0.7661605604670605,1.5648905265441497]",0
"[1.0732410343916199,1.623344785208039,-0.15432256944642406,-0.6013343304941313,0.7974108877351862,-1.3342758555096281,1.0097682876139518,0.7748578372390554,1.3051274493010556,-0.599086762663802]",0
"[-1.0652794878379066,0.3022212908102134,-0.3622514081913045,0.39769919030217993,-0.6717504318595564,0.9968296413736608,1.0097682876139518,-1.2904782399831956,1.3051274493010556,-0.6272290386865539]",0
"[-1.0652794878379066,0.3022212908102134,0.04266264620662061,1.6964427673373845,-1.4063310916569278,0.8253872247095605,-0.7320491812025733,0.7748578372390554,-0.7661605604670605,-1.6533714493726772]",1
"[1.0732410343916199,1.623344785208039,-1.0954741553443041,-1.7002712033700735,1.5319915475325574,-1.3342758555096281,1.0097682876139518,0.7748578372390554,1.3051274493010556,-1.4920991376100878]",0
"[-1.0652794878379066,1.623344785208039,-0.6796164778545432,0.39769919030217993,0.4301205578365005,-1.3342758555096281,-0.7320491812025733,-1.2904782399831956,-0.7661605604670605,1.0074992081818845]",0
"[1.0732410343916199,-1.0189022035876123,0.841547131910635,-1.7002712033700735,0.4301205578365005,-1.3342758555096281,1.0097682876139518,0.7748578372390554,1.3051274493010556,-0.7936033388053509]",0
"[-1.0652794878379066,-1.0189022035876123,0.90720887046165,-0.0019142180163445482,1.1647012176338718,-1.3342758555096281,1.0097682876139518,0.7748578372390554,1.3051274493010556,1.2188856615415862]",0
"[1.0732410343916199,1.623344785208039,-0.14337894635458823,-0.9010443867330247,1.1647012176338718,-1.3342758555096281,1.0097682876139518,0.7748578372390554,-0.7661605604670605,0.6587616981882358]",0
"[1.0732410343916199,1.623344785208039,-1.5222754559259009,-0.3016242742552379,-0.3044601019608708,-1.3342758555096281,-0.7320491812025733,0.7748578372390554,-0.7661605604670605,0.3184686554586124]",1
"[-1.0652794878379066,-1.0189022035876123,0.21776061567599364,0.49760254238181106,-0.6717504318595564,-1.3342758555096281,1.0097682876139518,-1.2904782399831956,1.3051274493010556,-1.5946388992466538]",0
"[1.0732410343916199,-1.0189022035876123,2.154781902930933,-0.3016242742552379,0.06283022793781484,-1.3342758555096281,-0.7320491812025733,0.7748578372390554,1.3051274493010556,1.508729847012982]",0
"[-1.0652794878379066,-1.0189022035876123,-0.7890527087729013,-1.6003678512904425,-0.6717504318595564,-1.3342758555096281,1.0097682876139518,-1.2904782399831956,1.3051274493010556,0.4153969055716098]",0
"[-1.0652794878379066,0.3022212908102134,1.1698558246657096,-0.5014309784145001,-1.039040761758242,0.8939991752028245,-0.7320491812025733,0.7748578372390554,1.3051274493010556,1.204259695939774]",0
"[-1.0652794878379066,-1.0189022035876123,-0.8547144473239162,0.2977958382225488,1.5319915475325574,-1.3342758555096281,1.0097682876139518,-1.2904782399831956,-0.7661605604670605,-1.0758365544483466]",0
"[1.0732410343916199,0.3022212908102134,-0.8218835780484087,0.19789248614291768,-0.6717504318595564,0.9678396444027914,-0.7320491812025733,0.7748578372390554,1.3051274493010556,-0.005957790794846657]",0
"[-1.0652794878379066,-1.0189022035876123,-2.6056941420176467,-1.200754442971918,-1.7736214215556134,-0.36200606738309177,1.0097682876139518,0.7748578372390554,1.3051274493010556,-0.8151003308667101]",0
"[1.0732410343916199,1.623344785208039,-0.6358419854872,-0.2017209221756068,-0.6717504318595564,-1.3342758555096281,2.751585756430477,0.7748578372390554,-0.7661605604670605,0.6919200314243835]",1
"[-1.0652794878379066,-1.0189022035876123,-1.2705721248136772,-0.5014309784145001,0.7974108877351862,0.05517005094983445,-0.7320491812025733,-1.2904782399831956,1.3051274493010556,0.9736655531822649]",0
"[-1.0652794878379066,0.3022212908102134,-1.0516996629769608,-0.0019142180163445482,1.5319915475325574,0.45909384586607804,1.0097682876139518,-1.2904782399831956,-0.7661605604670605,-0.32280497165364447]",0
"[1.0732410343916199,1.623344785208039,-1.4128392250075428,0.09798913406328658,0.4301205578365005,-1.3342758555096281,1.0097682876139518,0.7748578372390554,1.3051274493010556,-1.1455308692276338]",0
"[1.0732410343916199,1.623344785208039,0.7977726395432918,-1.200754442971918,1.5319915475325574,-1.3342758555096281,1.0097682876139518,0.7748578372390554,1.3051274493010556,0.7190106904373158]",0
"[1.0732410343916199,-1.0189022035876123,-1.9053022641401545,0.39769919030217993,-1.7736214215556134,0.8524420362063917,-0.7320491812025733,0.7748578372390554,-0.7661605604670605,-1.2596592077648325]",1
"[-1.0652794878379066,1.623344785208039,-1.7411479177626172,-1.0009477388126558,-0.6717504318595564,1.031533663523049,-0.7320491812025733,-1.2904782399831956,1.3051274493010556,0.23449937607617757]",0
"[-1.0652794878379066,1.623344785208039,1.6951497330738285,-0.8011410346533935,0.7974108877351862,-0.08755191359775873,-0.7320491812025733,-1.2904782399831956,1.3051274493010556,-0.03599869462824344]",0
"[-1.0652794878379066,-1.0189022035876123,2.1985563952982763,-0.5014309784145001,0.7974108877351862,-1.3342758555096281,-0.7320491812025733,0.7748578372390554,1.3051274493010556,-1.034611261932424]",0
"[-1.0652794878379066,0.3022212908102134,-0.7343345933137222,-0.0019142180163445482,0.4301205578365005,-0.18851510982583763,1.0097682876139518,-1.2904782399831956,1.3051274493010556,1.3434142670831486]",0
"[-1.0652794878379066,1.623344785208039,-1.9381331334156617,-0.10181757009597567,-0.3044601019608708,-1.3342758555096281,-0.7320491812025733,0.7748578372390554,-0.7661605604670605,-0.5262779637023844]",0
"[1.0732410343916199,-1.0189022035876123,-2.0147384950585123,0.9971193027799666,1.1647012176338718,0.6612081868188726,-0.7320491812025733,-1.2904782399831956,-0.7661605604670605,1.3992627532285342]",1
"[1.0732410343916199,-1.0189022035876123,-1.0188687937014533,1.996152823576278,-1.039040761758242,0.5780976547665815,-0.7320491812025733,0.7748578372390554,1.3051274493010556,-0.11048886806746974]",0
"[1.0732410343916199,-1.0189022035876123,2.023458425828903,0.7973125986207045,-1.039040761758242,0.8057076816024239,-0.7320491812025733,-1.2904782399831956,-0.7661605604670605,1.6256655005464111]",1
"[1.0732410343916199,1.623344785208039,0.11926800784947131,1.996152823576278,0.06283022793781484,1.2053270650649257,-0.7320491812025733,0.7748578372390554,1.3051274493010556,1.0014975415502252]",0
"[1.0732410343916199,0.3022212908102134,1.3887282865024257,-0.9010443867330247,-0.3044601019608708,0.4478330598990287,1.0097682876139518,0.7748578372390554,1.3051274493010556,0.4502054285966426]",0
"[1.0732410343916199,0.3022212908102134,1.9687403103697239,-1.4005611471311803,1.5319915475325574,0.49057815065843347,-0.7320491812025733,0.7748578372390554,1.3051274493010556,0.3322363491219327]",1
"[1.0732410343916199,0.3022212908102134,-0.13243532326275242,-0.2017209221756068,1.5319915475325574,0.9107445067714759,-0.7320491812025733,0.7748578372390554,1.3051274493010556,0.29610698127270474]",1
"[-1.0652794878379066,0.3022212908102134,-1.0845305322524683,-0.3016242742552379,-1.039040761758242,0.3496283417364092,-0.7320491812025733,-1.2904782399831956,1.3051274493010556,-0.1672398044606565]",0
"[1.0732410343916199,0.3022212908102134,1.3887282865024257,-0.40152762633486905,-1.039040761758242,0.355782107764945,1.0097682876139518,0.7748578372390554,-0.7661605604670605,1.6210460086271634]",0
"[-1.0652794878379066,0.3022212908102134,0.5351256853392322,0.2977958382225488,1.8992818774312432,0.5608992272554303,1.0097682876139518,0.7748578372390554,-0.7661605604670605,1.6896530172526407]",0
"[-1.0652794878379066,0.3022212908102134,-0.7015037240382148,-0.5014309784145001,0.06283022793781484,1.044412207217217,1.0097682876139518,-1.2904782399831956,-0.7661605604670605,-0.2443969617959561]",0
"[1.0732410343916199,-1.0189022035876123,1.5200517636044555,-0.8011410346533935,0.06283022793781484,-1.3342758555096281,1.0097682876139518,-1.2904782399831956,-0.7661605604670605,0.28493922442427166]",0
"[-1.0652794878379066,0.3022212908102134,0.06454989239029224,-0.0019142180163445482,1.1647012176338718,0.7107140488468184,-0.7320491812025733,-1.2904782399831956,-0.7661605604670605,1.1002932347849435]",1
"[-1.0652794878379066,0.3022212908102134,-0.5264057545688418,0.09798913406328658,-1.4063310916569278,0.2698942050773421,-0.7320491812025733,0.7748578372390554,-0.7661605604670605,-1.0484388994977865]",1
"[-1.0652794878379066,-1.0189022035876123,-0.3294205389157971,0.19789248614291768,-1.4063310916569278,0.7050128901598371,-0.7320491812025733,0.7748578372390554,1.3051274493010556,0.22312943849455516]",0
"[-1.0652794878379066,-1.0189022035876123,0.07549351548212806,0.39769919030217993,0.06283022793781484,0.7482130312655189,-0.7320491812025733,0.7748578372390554,-0.7661605604670605,-0.23256410483208684]",0
"[-1.0652794878379066,0.3022212908102134,0.8306035088187993,-2.1997879637682294,-1.7736214215556134,-0.09830764905521464,-0.7320491812025733,-1.2904782399831956,-0.7661605604670605,-0.951437365365818]",0
"[1.0732410343916199,1.623344785208039,-1.511331832834065,2.4956695839744336,-0.3044601019608708,-1.3342758555096281,-0.7320491812025733,0.7748578372390554,-0.7661605604670605,-1.71322110435526]",1
"[-1.0652794878379066,-1.0189022035876123,-0.3841386543749762,0.9971193027799666,-0.3044601019608708,-0.6716365575641274,-0.7320491812025733,0.7748578372390554,1.3051274493010556,-0.9313140588515529]",0
"[-1.0652794878379066,0.3022212908102134,1.0166451013800082,-0.6013343304941313,0.06283022793781484,0.8946727930382579,-0.7320491812025733,-1.2904782399831956,-0.7661605604670605,-0.2775740058454578]",0
"[1.0732410343916199,0.3022212908102134,0.4147458313290383,-1.4005611471311803,1.5319915475325574,1.1466586323924384,1.0097682876139518,-1.2904782399831956,-0.7661605604670605,0.44981319450928975]",0
"[-1.0652794878379066,1.623344785208039,-1.0298124167932892,-0.8011410346533935,-1.4063310916569278,-0.4208414387116044,1.0097682876139518,-1.2904782399831956,-0.7661605604670605,1.3559590011958396]",0
"[-1.0652794878379066,1.623344785208039,0.38191496205353087,1.4966360631781224,1.1647012176338718,-0.05239609844172345,-0.7320491812025733,0.7748578372390554,1.3051274493010556,-0.01962829217768742]",0
"[-1.0652794878379066,0.3022212908102134,-0.5045185083851701,-1.5004644992108114,-0.3044601019608708,0.4436838606786448,-0.7320491812025733,0.7748578372390554,1.3051274493010556,-0.13323913812702262]",0
"[1.0732410343916199,0.3022212908102134,1.1151377092065304,-0.5014309784145001,0.4301205578365005,1.4317178696773505,1.0097682876139518,0.7748578372390554,1.3051274493010556,-1.2607789113454693]",0
"[1.0732410343916199,0.3022212908102134,-0.745278216405558,-0.7012376825737624,-1.4063310916569278,0.3209907889134793,-0.7320491812025733,0.7748578372390554,-0.7661605604670605,0.17151912482218704]",0
"[-1.0652794878379066,0.3022212908102134,0.9400397397371574,0.19789248614291768,1.8992818774312432,0.671919785324345,1.0097682876139518,0.7748578372390554,1.3051274493010556,1.6656428857605656]",0
"[1.0732410343916199,0.3022212908102134,0.1302116309413071,-0.6013343304941313,0.06283022793781484,1.1205453549155882,1.0097682876139518,-1.2904782399831956,1.3051274493010556,0.22739758291859444]",0
"[1.0732410343916199,-1.0189022035876123,0.2834223542270085,-1.999981259608967,1.1647012176338718,0.2678997360220421,-0.7320491812025733,0.7748578372390554,-0.7661605604670605,-1.4263238719871647]",0
"[-1.0652794878379066,0.3022212908102134,0.9728706090126649,1.6964427673373845,-1.039040761758242,0.843995754546433,4.493403225247002,0.7748578372390554,-0.7661605604670605,-1.250115480216243]",1
"[-1.0652794878379066,-1.0189022035876123,1.793642340900351,-1.200754442971918,0.4301205578365005,-1.3342758555096281,-0.7320491812025733,0.7748578372390554,-0.7661605604670605,-1.153442771304149]",0
"[1.0732410343916199,1.623344785208039,0.08643713857396386,-0.40152762633486905,-1.7736214215556134,1.3303449001238483,-0.7320491812025733,-1.2904782399831956,1.3051274493010556,-0.975868836654908]",0
"[1.0732410343916199,0.3022212908102134,-0.4935748852933343,-1.6003678512904425,0.06283022793781484,1.2354530592316728,1.0097682876139518,0.7748578372390554,1.3051274493010556,-0.729453315220174]",0
"[-1.0652794878379066,-1.0189022035876123,-1.4237828480993786,-0.5014309784145001,1.5319915475325574,-1.3342758555096281,1.0097682876139518,-1.2904782399831956,1.3051274493010556,0.7801557227481395]",0
"[1.0732410343916199,-1.0189022035876123,0.9400397397371574,-1.999981259608967,-1.4063310916569278,1.576453358717078,1.0097682876139518,0.7748578372390554,-0.7661605604670605,-1.353819470239298]",0
"[-1.0652794878379066,-1.0189022035876123,0.16304250021681457,1.396732711098491,1.1647012176338718,-1.3342758555096281,1.0097682876139518,0.7748578372390554,1.3051274493010556,0.6692636619281459]",0
"[1.0732410343916199,-1.0189022035876123,0.31625322350251595,-0.9010443867330247,1.5319915475325574,-1.3342758555096281,-0.7320491812025733,0.7748578372390554,1.3051274493010556,0.8260360230790289]",0
"[-1.0652794878379066,1.623344785208039,1.1807994477575454,-0.8011410346533935,0.06283022793781484,-0.07607598034816389,-0.7320491812025733,-1.2904782399831956,1.3051274493010556,1.6234803200942107]",0
"[1.0732410343916199,0.3022212908102134,-2.5509760265584673,-0.0019142180163445482,1.8992818774312432,0.6557902538126987,1.0097682876139518,0.7748578372390554,-0.7661605604670605,-0.03862929638723885]",0
"[1.0732410343916199,-1.0189022035876123,0.17398612330865038,-0.7012376825737624,-1.4063310916569278,0.23976088189642808,1.0097682876139518,-1.2904782399831956,-0.7661605604670605,1.2280243346307096]",0
"[1.0732410343916199,-1.0189022035876123,1.3996719095942616,-0.9010443867330247,-1.039040761758242,-1.3342758555096281,-0.7320491812025733,0.7748578372390554,-0.7661605604670605,0.6224268578886546]",1
"[1.0732410343916199,-1.0189022035876123,-1.161135893895319,-0.5014309784145001,-0.6717504318595564,-1.3342758555096281,1.0097682876139518,-1.2904782399831956,-0.7661605604670605,-1.290902801101058]",0
"[1.0732410343916199,-1.0189022035876123,-1.5660499482932442,-0.7012376825737624,-0.3044601019608708,0.13653709196529842,-0.7320491812025733,0.7748578372390554,1.3051274493010556,1.0170361790478741]",0
"[1.0732410343916199,-1.0189022035876123,-1.7083170484871097,0.49760254238181106,-0.3044601019608708,-1.3342758555096281,1.0097682876139518,0.7748578372390554,-0.7661605604670605,-1.7086378213248186]",0
"[1.0732410343916199,1.623344785208039,0.03171902311478479,3.394799752691114,1.8992818774312432,-1.3342758555096281,1.0097682876139518,0.7748578372390554,1.3051274493010556,0.24504984933219084]",0
"[-1.0652794878379066,1.623344785208039,1.1041940861146946,-1.900077907529336,-0.6717504318595564,0.6475192170248212,-0.7320491812025733,0.7748578372390554,-0.7661605604670605,0.48703610545011267]",1
"[-1.0652794878379066,-1.0189022035876123,0.8743780011861425,-1.1008510908922868,1.5319915475325574,-1.3342758555096281,1.0097682876139518,0.7748578372390554,-0.7661605604670605,0.8894225415303877]",0
"[1.0732410343916199,-1.0189022035876123,-0.03394271543623009,0.49760254238181106,-0.3044601019608708,-1.3342758555096281,2.751585756430477,0.7748578372390554,-0.7661605604670605,-0.12612296536288017]",1
"[1.0732410343916199,0.3022212908102134,-0.15432256944642406,-1.3006577950515492,-0.6717504318595564,-0.004895780423818755,1.0097682876139518,0.7748578372390554,1.3051274493010556,0.9746955141581095]",0
"[1.0732410343916199,1.623344785208039,-0.02299909234439428,0.2977958382225488,0.06283022793781484,-1.3342758555096281,2.751585756430477,0.7748578372390554,1.3051274493010556,1.2763876291930214]",1
"[-1.0652794878379066,-1.0189022035876123,1.7389242254411719,0.39769919030217993,0.7974108877351862,0.5977589567717914,1.0097682876139518,0.7748578372390554,-0.7661605604670605,0.8073567409102077]",0
"[1.0732410343916199,-1.0189022035876123,-1.3690647326401995,-0.5014309784145001,1.8992818774312432,-1.3342758555096281,1.0097682876139518,0.7748578372390554,-0.7661605604670605,0.15736578050584263]",0
"[-1.0652794878379066,-1.0189022035876123,1.3121229248595752,-1.200754442971918,1.1647012176338718,-1.3342758555096281,1.0097682876139518,0.7748578372390554,1.3051274493010556,1.2432173418261196]",0
"[-1.0652794878379066,1.623344785208039,0.8853216242779783,0.09798913406328658,-0.3044601019608708,-1.3342758555096281,1.0097682876139518,-1.2904782399831956,1.3051274493010556,-0.25205626789218843]",0
"[-1.0652794878379066,1.623344785208039,-1.4675573404667217,-0.6013343304941313,1.8992818774312432,1.5366447596338988,-0.7320491812025733,-1.2904782399831956,1.3051274493010556,0.3594288781186826]",0
"[-1.0652794878379066,1.623344785208039,1.3558974172269183,-0.0019142180163445482,1.5319915475325574,0.3404436211823849,-0.7320491812025733,-1.2904782399831956,1.3051274493010556,-0.6225861582506135]",0
"[-1.0652794878379066,0.3022212908102134,1.8045859639921868,-1.200754442971918,1.1647012176338718,0.24694103564230022,1.0097682876139518,0.7748578372390554,1.3051274493010556,1.6760871578259664]",0
"[-1.0652794878379066,1.623344785208039,0.6664491624412621,-1.900077907529336,1.1647012176338718,-1.3342758555096281,1.0097682876139518,-1.2904782399831956,-0.7661605604670605,-0.015354603808950684]",0
"[-1.0652794878379066,-1.0189022035876123,-2.583806895833975,-0.7012376825737624,1.5319915475325574,-1.3342758555096281,1.0097682876139518,-1.2904782399831956,-0.7661605604670605,-1.6284841618804842]",0
"[1.0732410343916199,-1.0189022035876123,0.17398612330865038,-0.10181757009597567,0.4301205578365005,-1.3342758555096281,-0.7320491812025733,0.7748578372390554,1.3051274493010556,1.0623014480138766]",0
"[1.0732410343916199,-1.0189022035876123,-0.2856460465484538,0.2977958382225488,0.4301205578365005,-1.3342758555096281,1.0097682876139518,-1.2904782399831956,-0.7661605604670605,1.1543725095787183]",0
"[-1.0652794878379066,-1.0189022035876123,0.9728706090126649,-1.0009477388126558,1.5319915475325574,0.012213070247513908,-0.7320491812025733,0.7748578372390554,-0.7661605604670605,-1.014552230526996]",0
"[-1.0652794878379066,1.623344785208039,-1.3252902402728561,-0.5014309784145001,0.7974108877351862,-1.3342758555096281,1.0097682876139518,0.7748578372390554,-0.7661605604670605,-0.6929022610773875]",0
"[1.0732410343916199,1.623344785208039,0.22870423876782944,2.3957662318948025,-1.4063310916569278,-1.3342758555096281,-0.7320491812025733,0.7748578372390554,1.3051274493010556,1.3361662523841669]",1
"[1.0732410343916199,1.623344785208039,-0.29658966964028965,0.49760254238181106,-0.3044601019608708,0.4095941727834289,1.0097682876139518,0.7748578372390554,1.3051274493010556,-1.204885034152872]",1
"[-1.0652794878379066,0.3022212908102134,-0.7343345933137222,-0.9010443867330247,-1.4063310916569278,0.11424060219961557,-0.7320491812025733,0.7748578372390554,1.3051274493010556,-1.5674947065177356]",0
"[1.0732410343916199,0.3022212908102134,1.4872208943289482,-0.5014309784145001,-1.039040761758242,0.29124818362115495,-0.7320491812025733,-1.2904782399831956,1.3051274493010556,-1.1010758824288351]",0
"[-1.0652794878379066,1.623344785208039,-0.4826312622014985,-0.8011410346533935,0.06283022793781484,1.110240272395909,-0.7320491812025733,-1.2904782399831956,-0.7661605604670605,-0.4966772837276289]",0
"[-1.0652794878379066,0.3022212908102134,-1.8615277717728111,-0.6013343304941313,1.5319915475325574,0.1776816888976225,-0.7320491812025733,0.7748578372390554,-0.7661605604670605,-0.018736063577922752]",1
"[-1.0652794878379066,0.3022212908102134,0.39285858514536665,-1.1008510908922868,-0.6717504318595564,0.14026984031401785,-0.7320491812025733,-1.2904782399831956,1.3051274493010556,-0.6487877071326735]",0
"[-1.0652794878379066,0.3022212908102134,-1.215854009354498,-0.2017209221756068,0.7974108877351862,0.4255849416268478,1.0097682876139518,0.7748578372390554,-0.7661605604670605,-1.2699108277519928]",0
"[-1.0652794878379066,-1.0189022035876123,-0.9532070551504385,0.09798913406328658,-1.039040761758242,0.2982758938723545,-0.7320491812025733,-1.2904782399831956,-0.7661605604670605,-0.2379375732302036]",0
"[-1.0652794878379066,1.623344785208039,0.2834223542270085,-0.5014309784145001,1.5319915475325574,0.39521757859353585,-0.7320491812025733,-1.2904782399831956,1.3051274493010556,-1.3433150810235832]",0
"[-1.0652794878379066,0.3022212908102134,0.786829016451456,-1.3006577950515492,1.5319915475325574,1.1816206358405033,1.0097682876139518,-1.2904782399831956,1.3051274493010556,0.013333577518240004]",1
"[1.0732410343916199,0.3022212908102134,-0.23092793108927476,-1.1008510908922868,1.5319915475325574,0.8212896543223085,1.0097682876139518,0.7748578372390554,1.3051274493010556,-0.45672034180954635]",0
"[1.0732410343916199,0.3022212908102134,0.20681699258415784,-0.40152762633486905,0.4301205578365005,1.399680957216807,-0.7320491812025733,0.7748578372390554,-0.7661605604670605,0.26172568848592825]",0
"[1.0732410343916199,-1.0189022035876123,-1.5660499482932442,-0.0019142180163445482,-1.4063310916569278,-1.3342758555096281,1.0097682876139518,0.7748578372390554,-0.7661605604670605,-1.191342043498075]",0
"[1.0732410343916199,0.3022212908102134,-1.3690647326401995,-1.0009477388126558,1.1647012176338718,0.4217336261156052,-0.7320491812025733,0.7748578372390554,-0.7661605604670605,1.7185201640445997]",1
"[-1.0652794878379066,0.3022212908102134,0.546069308431068,-0.7012376825737624,-0.3044601019608708,1.6815940930203193,1.0097682876139518,0.7748578372390554,-0.7661605604670605,0.35174878222983447]",0
"[-1.0652794878379066,-1.0189022035876123,1.9577966872778882,-0.7012376825737624,1.1647012176338718,0.7737658834590693,1.0097682876139518,-1.2904782399831956,-0.7661605604670605,-1.0810613758292598]",0
"[-1.0652794878379066,1.623344785208039,0.27247873113517274,-0.2017209221756068,0.4301205578365005,0.6232780955001737,-0.7320491812025733,-1.2904782399831956,-0.7661605604670605,-0.006936297033967138]",0
"[1.0732410343916199,-1.0189022035876123,0.07549351548212806,-0.2017209221756068,0.4301205578365005,-1.3342758555096281,1.0097682876139518,0.7748578372390554,-0.7661605604670605,0.7023235901459113]",0
"[1.0732410343916199,0.3022212908102134,0.38191496205353087,0.6974092465410733,1.8992818774312432,0.7241090437392843,-0.7320491812025733,0.7748578372390554,1.3051274493010556,1.690869220120669]",0
"[1.0732410343916199,-1.0189022035876123,-0.2637588003647822,-1.3006577950515492,-0.6717504318595564,-1.3342758555096281,-0.7320491812025733,-1.2904782399831956,-0.7661605604670605,1.439954614315588]",0
"[-1.0652794878379066,-1.0189022035876123,-2.3758780570890945,0.09798913406328658,1.5319915475325574,1.1511304711031496,-0.7320491812025733,0.7748578372390554,-0.7661605604670605,0.16863852580698582]",1
"[1.0732410343916199,-1.0189022035876123,-1.0954741553443041,1.0970226548595978,-1.4063310916569278,-1.3342758555096281,-0.7320491812025733,-1.2904782399831956,1.3051274493010556,-1.592069627375875]",1
"[-1.0652794878379066,0.3022212908102134,-0.2637588003647822,1.4966360631781224,-1.7736214215556134,1.084416735279126,-0.7320491812025733,0.7748578372390554,-0.7661605604670605,-0.9304686072851739]",1
"[1.0732410343916199,-1.0189022035876123,1.9577966872778882,-0.0019142180163445482,0.7974108877351862,-1.3342758555096281,1.0097682876139518,0.7748578372390554,-0.7661605604670605,1.2274198714104028]",0
"[-1.0652794878379066,-1.0189022035876123,1.323066547951411,-1.7002712033700735,1.5319915475325574,0.32415089695528776,-0.7320491812025733,0.7748578372390554,-0.7661605604670605,1.1559996573474545]",0
"[1.0732410343916199,-1.0189022035876123,1.191743070849381,-0.7012376825737624,-0.6717504318595564,-1.3342758555096281,1.0097682876139518,0.7748578372390554,1.3051274493010556,0.4105090520793458]",0
"[1.0732410343916199,0.3022212908102134,1.5966571252473063,-0.8011410346533935,1.5319915475325574,0.7970410409165124,-0.7320491812025733,0.7748578372390554,1.3051274493010556,0.24954494899228688]",0
"[-1.0652794878379066,-1.0189022035876123,0.4147458313290383,-0.3016242742552379,1.5319915475325574,0.6619989060139958,-0.7320491812025733,0.7748578372390554,1.3051274493010556,-1.1247700090731487]",0
"[-1.0652794878379066,-1.0189022035876123,0.4038022082372025,-1.6003678512904425,-1.4063310916569278,-1.3342758555096281,1.0097682876139518,-1.2904782399831956,1.3051274493010556,-1.4565319604028477]",0
"[-1.0652794878379066,0.3022212908102134,1.5309953866962913,-0.2017209221756068,0.7974108877351862,0.6987675928877052,1.0097682876139518,0.7748578372390554,1.3051274493010556,0.4137127591214522]",0
"[1.0732410343916199,0.3022212908102134,-0.6577292316708715,0.8972159507003356,0.06283022793781484,1.0255860870930764,1.0097682876139518,0.7748578372390554,1.3051274493010556,-1.1363369299398063]",0
"[1.0732410343916199,0.3022212908102134,-2.0585129874258556,-0.7012376825737624,0.06283022793781484,-0.2974006446344284,-0.7320491812025733,-1.2904782399831956,1.3051274493010556,1.165145953360537]",0
"[-1.0652794878379066,-1.0189022035876123,-0.13243532326275242,-0.10181757009597567,-1.039040761758242,0.839397368191106,-0.7320491812025733,-1.2904782399831956,1.3051274493010556,-0.12761428648652567]",0
"[1.0732410343916199,1.623344785208039,-0.7124473471300506,0.6974092465410733,-1.039040761758242,2.1371719654503334,-0.7320491812025733,0.7748578372390554,-0.7661605604670605,-0.43953203426782755]",1
"[1.0732410343916199,1.623344785208039,-0.7671654625892297,-0.6013343304941313,-1.4063310916569278,0.7746945509875129,1.0097682876139518,-1.2904782399831956,1.3051274493010556,-1.59285305606095]",1
"[-1.0652794878379066,0.3022212908102134,1.1698558246657096,0.2977958382225488,1.8992818774312432,0.9043648442396166,-0.7320491812025733,0.7748578372390554,-0.7661605604670605,1.5421276093607554]",0
